n = 23;

p = 
	[
		[ 0 1 2 1 7 11 1 4 6 2 1 2 7 2 8 4 0 6 17 7 1 1 9  ]
		[ 1 0 4 2 7 4 5 1 7 10 8 4 7 3 3 3 2 6 1 6 0 5 11  ]
		[ 1 4 2 1 3 3 1 0 2 3 4 8 19 3 9 13 4 3 5 1 11 0 0  ]
		[ 6 1 1 1 2 6 5 14 5 1 2 5 5 2 2 6 8 1 4 2 7 5 9  ]
		[ 3 2 1 1 7 6 4 3 0 9 12 6 6 3 1 3 6 8 6 0 1 10 2  ]
		[ 1 3 0 3 11 0 5 2 17 2 7 9 1 2 6 2 2 5 3 5 1 3 10  ]
		[ 8 4 3 0 2 2 1 3 4 2 2 5 10 8 7 4 3 3 10 1 5 12 1  ]
		[ 0 5 3 11 5 11 3 2 2 12 9 0 5 1 7 4 2 1 0 7 6 2 2  ]
		[ 2 6 3 1 12 0 2 2 7 7 3 4 2 3 2 4 0 3 8 3 1 11 14  ]
		[ 6 3 2 6 7 10 2 0 18 6 6 3 7 2 1 3 2 1 2 0 1 7 5  ]
		[ 1 2 6 1 1 3 5 10 1 7 5 3 3 8 1 2 7 12 3 1 3 13 2  ]
		[ 2 13 1 8 1 5 6 3 2 1 1 10 1 1 4 5 5 9 7 5 1 8 1  ]
		[ 4 4 4 2 2 2 0 4 28 1 4 9 7 3 5 2 1 0 9 2 3 2 2  ]
		[ 11 2 1 8 4 4 1 4 1 10 0 6 3 11 9 4 1 4 4 4 4 1 3  ]
		[ 6 2 16 1 0 8 1 8 6 2 5 2 1 3 2 3 1 5 11 1 10 1 5  ]
		[ 12 1 2 1 3 6 5 3 7 5 4 1 0 1 2 27 2 2 4 3 1 0 8  ]
		[ 1 3 1 2 2 10 4 1 7 0 1 3 1 5 1 0 9 1 9 6 16 13 4  ]
		[ 0 8 2 14 14 2 6 1 1 2 17 2 4 2 0 0 3 1 2 10 6 3 0  ]
		[ 2 0 10 0 4 5 8 6 0 1 3 1 7 8 2 0 1 6 7 22 1 1 5  ]
		[ 2 6 7 3 1 10 8 4 4 14 3 2 3 2 2 1 1 5 5 2 10 3 2  ]
		[ 6 0 6 1 7 1 1 1 14 2 4 0 0 2 6 2 19 5 9 7 5 1 1  ]
		[ 7 3 7 1 7 16 0 4 9 0 2 6 0 6 4 3 0 1 13 3 6 2 0  ]
		[ 1 9 2 6 4 8 13 5 6 0 2 5 4 2 15 4 0 1 2 5 2 3 1  ]
	];
