n = 21;

p = 
	[
		[ 3 4 1 2 0 5 6 13 9 4 3 5 21 1 1 3 2 0 4 5 8  ]
		[ 3 7 3 1 8 1 3 2 1 2 1 8 9 5 5 5 3 10 2 6 15  ]
		[ 9 0 12 0 2 9 8 2 2 9 8 0 1 0 2 0 6 4 13 13 0  ]
		[ 1 4 1 24 1 2 5 0 0 2 3 17 0 5 0 4 2 7 6 14 2  ]
		[ 1 2 2 3 8 1 8 1 10 1 3 1 10 1 2 4 9 3 15 11 4  ]
		[ 9 10 6 3 8 10 6 4 0 4 0 4 6 2 3 1 13 4 2 1 4  ]
		[ 0 2 6 18 6 21 3 3 2 1 2 2 1 0 1 4 3 9 12 1 3  ]
		[ 0 4 12 0 4 3 5 0 13 4 2 7 10 16 1 0 4 1 5 8 1  ]
		[ 2 1 6 4 6 4 0 5 0 2 4 4 6 16 1 0 2 16 0 6 15  ]
		[ 4 11 0 9 4 3 2 12 11 1 2 0 3 1 6 13 1 4 1 9 3  ]
		[ 0 1 3 4 19 4 1 7 6 3 11 2 2 0 7 7 1 8 0 13 1  ]
		[ 7 1 9 7 3 7 14 0 3 5 5 0 4 2 7 2 1 8 7 6 2  ]
		[ 0 0 9 2 0 2 10 2 23 15 6 1 0 2 3 2 1 1 14 5 2  ]
		[ 1 3 5 1 5 3 1 7 13 4 1 5 0 4 2 1 13 8 9 13 1  ]
		[ 2 4 1 11 1 4 3 1 10 1 1 7 8 11 2 0 0 2 10 7 14  ]
		[ 0 3 4 1 9 14 0 7 1 6 3 2 0 3 6 1 9 11 2 1 17  ]
		[ 0 7 4 4 0 2 7 18 0 5 5 3 0 1 7 1 19 2 4 8 3  ]
		[ 11 2 6 2 3 1 1 6 1 4 7 12 6 13 2 5 1 3 8 1 5  ]
		[ 2 0 0 11 4 1 8 4 7 2 14 6 6 4 6 1 7 6 6 4 1  ]
		[ 0 7 1 11 3 5 4 5 6 2 17 2 0 21 2 2 2 1 5 1 3  ]
		[ 6 3 5 9 6 13 4 2 1 1 4 2 4 1 7 1 3 1 1 12 14  ]
	];
