n = 19;

p = 
	[
		[ 1 1 7 10 3 7 9 0 5 11 0 11 7 1 1 19 4 1 2  ]
		[ 11 8 6 3 0 3 8 15 0 3 2 5 18 5 2 3 0 7 1  ]
		[ 0 1 5 1 8 9 5 8 7 1 12 8 18 5 1 6 4 0 1  ]
		[ 11 5 5 6 3 2 4 1 0 0 9 3 0 8 10 7 1 10 15  ]
		[ 3 1 0 17 5 3 2 6 10 5 7 7 1 5 1 1 1 5 20  ]
		[ 10 5 1 9 9 11 6 9 8 2 4 5 2 4 0 4 8 1 2  ]
		[ 4 3 0 0 3 3 8 14 6 2 7 15 7 4 6 5 7 1 5  ]
		[ 7 1 1 16 0 0 5 1 3 2 13 9 3 3 0 24 4 2 6  ]
		[ 3 26 1 0 1 1 11 3 7 0 5 10 4 8 8 3 0 9 0  ]
		[ 0 1 16 26 6 1 3 1 3 2 4 1 2 14 4 1 7 4 4  ]
		[ 1 4 12 3 6 2 0 5 7 9 12 1 0 13 11 1 4 6 3  ]
		[ 3 1 2 5 3 10 9 1 5 2 1 1 2 21 4 1 1 17 11  ]
		[ 21 1 11 2 9 11 5 3 2 6 2 6 1 0 2 9 4 3 2  ]
		[ 6 2 1 0 10 5 10 7 3 1 9 4 12 3 1 0 11 3 12  ]
		[ 5 6 14 2 2 5 2 2 1 0 2 10 1 3 2 1 20 10 12  ]
		[ 1 7 2 6 4 1 5 7 10 19 4 0 3 12 5 6 4 1 3  ]
		[ 1 2 0 1 8 1 5 6 2 11 1 1 4 18 7 15 11 4 2  ]
		[ 3 1 23 9 7 4 0 2 1 8 6 3 6 1 9 0 3 4 10  ]
		[ 0 0 2 6 9 19 14 2 1 0 13 3 12 2 3 6 4 3 1  ]
	];
